S 16 19633;09:15;Herrliberg-Feldmeilen ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon- Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Herrliberg-Feldmeilen;43/44
S 16 19632;09:16;Zuerich Flughafen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Flughafen;41/42
S 2 18233;09:17;Ziegelbruecke ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Thalwil-  Horgen- Waedenswil- Richterswil- Pfaeffikon SZ- Siebnen-Wangen- Ziegelbruecke;31
S 12 19233;09:17;Seuzach ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Winterthur- Oberwinterthur- Winterthur Wallrueti- Reutlingen- Seuzach;43/44
S 4 24463;09:18;Sihlwald;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Langnau-Gattikon- Sihlwald;21-Zuerich HB SZU
S 7 18732;09:19;Winterthur ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Opfikon-  Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19432;09:19;Affoltern am Albis ;Zuerich HB- Zuerich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19933;09:19;Effretikon ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20433;09:21;Zug ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
S 15 19532;09:22;Niederweningen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Dielsdorf- Schoefflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
S 5 18533;09:25;Pfaeffikon SZ ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil- Pfaeffikon SZ;43/44
S 8 18832;09:25;Winterthur ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon- Winterthur;33
S 10 24765;09:25;Zuerich Triemli;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli;22-Zuerich HB SZU
S 9 18933;09:28;Uster ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Duebendorf- Schwerzenbach ZH- Naenikon-Greifensee- Uster;43/44
S 3 18332;09:29;Dietikon ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren- Glanzenberg- Dietikon;41/42
ICN 1514;09:30;Lausanne ;Zuerich HB- Olten- Oensingen- Solothurn- Grenchen Sued- Biel/Bienne- Neuchatel- Yverdon-les-Bains- Lausanne;31
S 6 18633;09:30;Uetikon ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon-  Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Meilen- Uetikon;43/44
S 6 18634;09:31;Baden ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Seebach-  Zuerich Affoltern- Regensdorf-Watt- Buchs-Daellikon- Otelfingen Golfpark- Wettingen- Baden;41/42
EC 15;09:32;Milano Centrale ;Zuerich HB- Zug- Arth-Goldau- Bellinzona- Lugano- Chiasso- Monza- Milano Centrale;9
IC 712;09:32;Geneve-Aéroport ;Zuerich HB- Bern- Fribourg/Freiburg- Lausanne- Geneve- Geneve-Aeroport;32
IC 709;09:33;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- St. Gallen;34
S 3 18335;09:33;Wetzikon ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Dietlikon-  Effretikon- Illnau- Fehraltorf- Pfaeffikon ZH- Kempten- Wetzikon;43/44
IC 562;09:34;Basel SBB ;Zuerich HB- Basel SBB;13
IR 2635;09:35;Luzern ;Zuerich HB- Thalwil- Baar- Zug- Rotkreuz- Luzern;8
IR 2814;09:35;Schaffhausen ;Zuerich HB- Schaffhausen;7
S 10 24767;09:35;Uetliberg;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zuerich HB SZU
IR 1964;09:36;Basel SBB ;Zuerich HB- Baden- Brugg AG- Frick- Stein-Saeckingen- Rheinfelden- Basel SBB;17
IC 563;09:37;Chur ;Zuerich HB- Sargans- Landquart- Chur;10
IR 2113;09:37;Konstanz ;Zuerich HB- Zuerich Flughafen- Winterthur- Frauenfeld- Weinfelden- Kreuzlingen- Konstanz;14
S 8 18835;09:37;Pfaeffikon SZ ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Waedenswil- Richterswil- Pfaeffikon SZ;31
S 9 18934;09:37;Rafz ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Buelach- Glattfelden- Eglisau- Rafz;41/42
RE 4814;09:38;Aarau ;Zuerich HB- Lenzburg- Aarau;16
S 4 24467;09:38;Langnau-Gattikon;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zuerich HB SZU
